a,t_EdS,a_avera
1.000000014901161194e-01,3.777493909001350403e-02,1.000000014901161194e-01
1.095959544181823730e-01,4.088111966848373413e-02,1.095987036824226379e-01
1.191919147968292236e-01,4.412646591663360596e-02,1.192035898566246033e-01
1.287878751754760742e-01,4.750518500804901123e-02,1.288156658411026001e-01
1.383838355541229248e-01,5.101228505373001099e-02,1.384359598159790039e-01
1.479797959327697754e-01,5.464313551783561707e-02,1.480655074119567871e-01
1.575757563114166260e-01,5.839375779032707214e-02,1.577056646347045898e-01
1.671717166900634766e-01,6.226029619574546814e-02,1.673578023910522461e-01
1.767676770687103271e-01,6.623961031436920166e-02,1.770223975181579590e-01
1.863636225461959839e-01,7.032836228609085083e-02,1.867014616727828979e-01
1.959595978260040283e-01,7.452379912137985229e-02,1.963960975408554077e-01
2.055555582046508789e-01,7.882327586412429810e-02,2.061076462268829346e-01
2.151515185832977295e-01,8.322427421808242798e-02,2.158373445272445679e-01
2.247474640607833862e-01,8.772457391023635864e-02,2.255866676568984985e-01
2.343434244394302368e-01,9.232196956872940063e-02,2.353567630052566528e-01
2.439393699169158936e-01,9.701453149318695068e-02,2.451492995023727417e-01
2.535353302955627441e-01,1.018002927303314209e-01,2.549655437469482422e-01
2.631313204765319824e-01,1.066774874925613403e-01,2.648068666458129883e-01
2.727272510528564453e-01,1.116443946957588196e-01,2.746747136116027832e-01
2.823232114315032959e-01,1.166994944214820862e-01,2.845705747604370117e-01
2.919191718101501465e-01,1.218412369489669800e-01,2.944958209991455078e-01
3.015151321887969971e-01,1.270681023597717285e-01,3.044521212577819824e-01
3.111110925674438477e-01,1.323789358139038086e-01,3.144393861293792725e-01
3.207070529460906982e-01,1.377723217010498047e-01,3.244616985321044922e-01
3.303030133247375488e-01,1.432469338178634644e-01,3.345177471637725830e-01
3.398989737033843994e-01,1.488019675016403198e-01,3.446104526519775391e-01
3.494949340820312500e-01,1.544356197118759155e-01,3.547399342060089111e-01
3.590908646583557129e-01,1.601472496986389160e-01,3.649081885814666748e-01
3.686868548393249512e-01,1.659357696771621704e-01,3.751163780689239502e-01
3.782828152179718018e-01,1.718000769615173340e-01,3.853657841682434082e-01
3.878787457942962646e-01,1.777392625808715820e-01,3.956572115421295166e-01
3.974747359752655029e-01,1.837523281574249268e-01,4.059926569461822510e-01
4.070706963539123535e-01,1.898384839296340942e-01,4.163729548454284668e-01
4.166666269302368164e-01,1.959968209266662598e-01,4.267990887165069580e-01
4.262626171112060547e-01,2.022264897823333740e-01,4.372723102569580078e-01
4.358585476875305176e-01,2.085265219211578369e-01,4.477930366992950439e-01
4.454545080661773682e-01,2.148965895175933838e-01,4.583624005317687988e-01
4.550504982471466064e-01,2.213355302810668945e-01,4.689818322658538818e-01
4.646464288234710693e-01,2.278427183628082275e-01,4.796521663665771484e-01
4.742423892021179199e-01,2.344172149896621704e-01,4.903744459152221680e-01
4.838383495807647705e-01,2.410587221384048462e-01,5.011498332023620605e-01
4.934343099594116211e-01,2.477667480707168579e-01,5.119794011116027832e-01
5.030302405357360840e-01,2.545399069786071777e-01,5.228642225265502930e-01
5.126262307167053223e-01,2.613783180713653564e-01,5.338035225868225098e-01
5.222222208976745605e-01,2.682807445526123047e-01,5.448002219200134277e-01
5.318181514739990234e-01,2.752471566200256348e-01,5.558527708053588867e-01
5.414140820503234863e-01,2.822765409946441650e-01,5.669634938240051270e-01
5.510100722312927246e-01,2.893686294555664062e-01,5.781328082084655762e-01
5.606060624122619629e-01,2.965226769447326660e-01,5.893603563308715820e-01
5.702019929885864258e-01,3.037382960319519043e-01,6.006490588188171387e-01
5.797979831695556641e-01,3.110149502754211426e-01,6.119974255561828613e-01
5.893939137458801270e-01,3.183518350124359131e-01,6.234065890312194824e-01
5.989898443222045898e-01,3.257487416267395020e-01,6.348770260810852051e-01
6.085857748985290527e-01,3.332051336765289307e-01,6.464090347290039062e-01
6.181817650794982910e-01,3.407206833362579346e-01,6.580035090446472168e-01
6.277777552604675293e-01,3.482946753501892090e-01,6.696614623069763184e-01
6.373736858367919922e-01,3.559274971485137939e-01,6.813811063766479492e-01
6.469696760177612305e-01,3.636165261268615723e-01,6.931656002998352051e-01
6.565656065940856934e-01,3.713640272617340088e-01,7.050148844718933105e-01
6.661615371704101562e-01,3.791680634021759033e-01,7.169287800788879395e-01
6.757575273513793945e-01,3.870290517807006836e-01,7.289080619812011719e-01
6.853535175323486328e-01,3.949453532695770264e-01,7.409523129463195801e-01
6.949494481086730957e-01,4.029176533222198486e-01,7.530618309974670410e-01
7.045454382896423340e-01,4.109450876712799072e-01,7.652376294136047363e-01
7.141413688659667969e-01,4.190275967121124268e-01,7.774788737297058105e-01
7.237372994422912598e-01,4.271644353866577148e-01,7.897864580154418945e-01
7.333332300186157227e-01,4.353551268577575684e-01,8.021602630615234375e-01
7.429292201995849609e-01,4.436004161834716797e-01,8.146004080772399902e-01
7.525252103805541992e-01,4.518978893756866455e-01,8.271072506904602051e-01
7.621212005615234375e-01,4.602491259574890137e-01,8.396801948547363281e-01
7.717171311378479004e-01,4.686520695686340332e-01,8.523191809654235840e-01
